11,NH,0,100
12,NV,0,70.7
2,AZ,-4,13.3
14,PA,0,12.5
9,MO,-4,11.2
4,FL,0,8.4
1,AK,-12,6.7
13,OH,-4,5.5
5,IA,-8,3.9
8,LA,-8,3.1
10,NC,-6,2.8
7,IN,-8,2.3
6,IL,6,0.9
3,CO,8,0.6
15,WI,10,0.3
