Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Ayotte,Hassan,Other,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
PPP (D),2015-11-30,2015-12-02,2015-12-07T19:44:12Z,990,Likely Voters,IVR/Online,42.0,42.0,,0.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23268,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NH_120715.pdf,Pollster,Dem,,1
PPP (D),2015-10-16,2015-10-18,2015-10-21T22:06:47Z,880,Likely Voters,IVR/Online,43.0,44.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22959,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NH_102115.pdf,Pollster,Dem,,1
Gravis Marketing,2015-10-05,2015-10-06,2015-10-09T21:07:41Z,1035,Registered Voters,Automated Phone,52.0,42.0,,-10.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-22885,http://gravismarketing.com/polling-and-market-research/current-new-hampshire-polling/,Nonpartisan,None,,1
UNH/WMUR,2015-09-24,2015-10-02,2015-10-06T14:48:00Z,519,Likely Voters,Live Phone,45.0,43.0,1.0,-2.0,http://elections.huffingtonpost.com/pollster/polls/unh-wmur-22851,https://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2015_fall_senate100515.pdf,Nonpartisan,None,,1
ARG,2015-09-25,2015-09-29,2015-10-07T18:50:02Z,530,Registered Voters,Live Phone,50.0,41.0,,-9.0,http://elections.huffingtonpost.com/pollster/polls/arg-22866,http://americanresearchgroup.com/nhpoll/senate16/,Nonpartisan,None,,1
PPP (D),2015-08-21,2015-08-24,2015-08-27T00:55:03Z,841,Likely Voters,IVR/Online,44.0,43.0,,-1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22612,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NH_82615.pdf,Pollster,Dem,,1
NBC/Marist,2015-07-14,2015-07-21,2015-07-27T19:54:39Z,910,Registered Voters,Live Phone,50.0,42.0,,-8.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-22432,http://www.view-pdf.com/ViewPDFFile.aspx?file=http://www.htmlpublish.com/newTestDocStorage/DocStorage/9869c9e644fe4354bc0d82dde2a3b0eb/NBC%20News_Marist%20Poll_New%20Hampshire%20Annotated%20Questionnaire_July%202015.pdf,Nonpartisan,None,,1
UNH/WMUR,2015-07-07,2015-07-20,2015-07-24T01:11:48Z,472,Likely Voters,Live Phone,47.0,41.0,,-6.0,http://elections.huffingtonpost.com/pollster/polls/unh-wmur-22422,http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2015_summer_sencong072215.pdf,Nonpartisan,None,,1
PPP (D),2015-07-06,2015-07-07,2015-07-10T02:35:02Z,715,Likely Voters,IVR/Online,44.0,45.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22362,http://b.3cdn.net/maj2012/478e1b4398ada12185_lom6bxqv5.pdf,Sponsor,Dem,,1
UNH/WMUR,2015-05-06,2015-05-22,2015-05-29T01:41:34Z,576,Adults,Live Phone,45.0,43.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/unh-wmur-22189,http://cola.unh.edu/sites/cola.unh.edu/files/research_publications/gsp2015_spring_senrace052715.pdf,Nonpartisan,None,,1
Dartmouth,2015-04-27,2015-04-30,2015-05-06T23:05:41Z,412,Registered Voters,Live Phone,38.0,33.0,,-5.0,http://elections.huffingtonpost.com/pollster/polls/dartmouth-22105,http://rockefeller.dartmouth.edu/library/2015nhstatepoll.pdf,Nonpartisan,None,,1
Gravis Marketing/TownHall.com,2015-04-21,2015-04-22,2015-04-27T20:03:37Z,1117,Likely Voters,Automated Phone,50.0,43.0,,-7.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-townhall-com-22070,http://gravismarketing.com/polling-and-market-research/new-hampshire-poll-ayotte-opens-up-6-point-lead-walker-others-lead-clinton/,Nonpartisan,None,,1
PPP (D),2015-04-09,2015-04-13,2015-04-17T21:25:55Z,747,Likely Voters,IVR/Online,45.0,46.0,,1.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22026,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NH_41615.pdf,Pollster,Dem,,1
Gravis Marketing/Howie Carr,2015-03-18,2015-03-19,2015-03-25T21:31:44Z,1227,Likely Voters,Automated Phone,47.0,45.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-howie-carr-21915,http://gravismarketing.com/polling-and-market-research/current-new-hampshire-primary-political-poll/,Nonpartisan,None,,1
POS (R)/Human Rights First,2015-02-17,2015-02-18,2015-03-30T19:25:33Z,424,Registered Voters,Live Phone,46.0,44.0,,-2.0,http://elections.huffingtonpost.com/pollster/polls/pos-r-human-rights-first-21939,http://nhjournal.com/poll-for-human-rights-group-shows-ayotte-hassan-in-statistical-tie/,Pollster,Rep,,1
NBC/Marist,2015-02-03,2015-02-10,2015-02-17T22:48:39Z,887,Registered Voters,Live Phone,44.0,48.0,,4.0,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-21737,http://maristpoll.marist.edu/wp-content/misc/NHpolls/NH150203/Complete%20February%202015%20New%20Hampshire%20NBC%20News__Marist%20Poll%20Tables.pdf#page=1,Nonpartisan,None,,1
New England College,2014-12-01,2014-12-01,2014-12-15T22:26:40Z,541,Likely Voters,Automated Phone,48.0,43.0,4.0,-5.0,http://elections.huffingtonpost.com/pollster/polls/new-england-college-21518,http://www.scribd.com/doc/249200546/NEC-NH-Journal-Poll,Nonpartisan,None,,1
PPP (D),2013-04-19,2013-04-21,2013-04-25T16:47:29Z,933,Likely Voters,Automated Phone,44.0,46.0,,2.0,http://elections.huffingtonpost.com/pollster/polls/ppp-d-17312,http://www.publicpolicypolling.com/pdf/2011/PPP_Release_NH_042313.pdf,Pollster,Dem,,1
