Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Young,Bayh,Difference,Pollster URL,Source URL,Partisan,Affiliation,Question Text,Question Iteration
Monmouth University,2016-08-13,2016-08-16,2016-08-17T17:03:35Z,403,Likely Voters,Live Phone,41.0,48.0,7.0,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25197,http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_IN_081716/,Nonpartisan,None,"If the election for U.S. Senate was today, would you vote for Todd Young the Republican, Evan Bayh the Democrat, or Lucy Brenton the Libertarian?",1
Garin-Hart-Yang (D-DSCC),2016-07-12,2016-07-14,2016-07-18T18:46:38Z,602,Likely Voters,Live Phone,33.0,54.0,21.0,http://elections.huffingtonpost.com/pollster/polls/garin-hart-yang-d-dscc-24924,http://www.dscc.org/press-release/new-poll-finds-evan-bayh-leading-congressman-todd-young-21-points-potential-grow-support/,Sponsor,Dem,,1
