state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,-2.0,2016-06-22,2016-06-23,2016-06-22,691,PPP,D
AZ,-2.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
AZ,-9.0,2016-06-06,2016-06-19,2016-06-12,448,Behavior Research Center,
CO,16.0,2016-08-09,2016-08-16,2016-08-12,830,Quinnipiac,
CO,15.0,2016-08-04,2016-08-10,2016-08-07,899,NBC,
CO,15.0,2016-07-09,2016-07-12,2016-07-10,600,FOX,
CO,13.0,2016-07-09,2016-07-12,2016-07-10,404,Monmouth University,
FL,-8.0,2016-08-14,2016-08-18,2016-08-16,1380,Saint Leo University,
FL,-5.0,2016-08-12,2016-08-15,2016-08-13,402,Monmouth University,
FL,-2.0,2016-08-10,2016-08-10,2016-08-10,622,Opinion Savvy,
FL,-6.0,2016-08-04,2016-08-10,2016-08-07,862,NBC,
FL,-3.0,2016-07-30,2016-08-07,2016-08-03,1056,Quinnipiac,
FL,-13.0,2016-08-01,2016-08-03,2016-08-02,500,Suffolk,
IA,-7.0,2016-08-17,2016-08-19,2016-08-18,987,CBS,
IA,-9.0,2016-08-09,2016-08-16,2016-08-12,846,Quinnipiac,
IA,-10.0,2016-08-08,2016-08-10,2016-08-09,500,Suffolk,
IA,-10.0,2016-08-03,2016-08-07,2016-08-05,899,NBC,
IL,7.0,2016-08-01,2016-08-04,2016-08-02,800,"Normington, Petts & Associates",D
IL,3.0,2016-03-30,2016-03-31,2016-03-30,600,GS Strategy Group,R
IL,6.0,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IN,7.0,2016-08-13,2016-08-16,2016-08-14,403,Monmouth University,
IN,21.0,2016-07-12,2016-07-14,2016-07-13,602,Garin-Hart-Yang,D
IN,14.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-5.0,2016-08-19,2016-08-22,2016-08-20,401,Monmouth University,
MO,-4.0,2016-07-23,2016-07-24,2016-07-23,625,Mason-Dixon,
MO,-3.0,2016-07-11,2016-07-12,2016-07-11,959,PPP,D
NC,2.0,2016-08-04,2016-08-10,2016-08-07,921,NBC,
NC,-4.0,2016-08-05,2016-08-07,2016-08-06,830,PPP,D
NC,2.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
NH,1.0,2016-08-10,2016-08-12,2016-08-11,990,CBS,
NH,3.0,2016-08-07,2016-08-08,2016-08-07,820,Vox Populi,R
NH,10.0,2016-07-29,2016-08-01,2016-07-30,609,MassINC,
NV,0.0,2016-08-15,2016-08-17,2016-08-16,500,Suffolk,
NV,-3.0,2016-08-02,2016-08-05,2016-08-03,993,CBS,
NV,-1.0,2016-07-29,2016-07-31,2016-07-30,750,Rasmussen,
OH,-8.0,2016-08-18,2016-08-21,2016-08-19,402,Monmouth University,
OH,-7.0,2016-08-17,2016-08-19,2016-08-18,997,CBS,
OH,-5.0,2016-08-03,2016-08-07,2016-08-05,889,NBC,
OH,-9.0,2016-07-30,2016-08-07,2016-08-03,812,Quinnipiac,
PA,4.0,2016-08-03,2016-08-07,2016-08-05,834,NBC,
PA,3.0,2016-07-30,2016-08-07,2016-08-03,815,Quinnipiac,
PA,2.0,2016-07-31,2016-08-04,2016-08-02,772,Susquehanna,R
PA,1.0,2016-07-29,2016-08-01,2016-07-30,389,Franklin and Marshall College,
PA,-1.0,2016-07-29,2016-07-31,2016-07-30,1505,PPP,D
PA,7.0,2016-07-25,2016-07-27,2016-07-26,500,Suffolk,
WI,11.0,2016-08-04,2016-08-07,2016-08-05,683,Marquette Law School,
WI,13.0,2016-06-22,2016-06-23,2016-06-22,843,PPP,D
WI,1.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
