30,NH,100
29,NV,82.7
50,WI,61.8
23,MI,48.1
6,CO,44.4
3,AZ,42.4
34,NC,41.4
39,PA,35.8
10,FL,30.8
47,VA,28.9
20,ME,23
24,MN,20.7
25,MS,17.6
36,OH,16.4
7,CT,14.3
32,NM,11.8
11,GA,11.7
40,RI,8.4
16,IA,5.6
26,MO,1
44,TX,0.9
41,SC,0.5
9,DE,0.5
2,AK,0.1
31,NJ,0.0096659
51,WY,0
49,WV,0
48,WA,0
46,VT,0
45,UT,0
43,TN,0
42,SD,0
38,OR,0
37,OK,0
35,ND,0
33,NY,0
28,NE,0
27,MT,0
22,MA,0
21,MD,0
19,LA,0
18,KY,0
17,KS,0
15,IN,0
14,IL,0
13,ID,0
12,HI,0
8,DC,0
5,CA,0
4,AR,0
1,AL,0
