7,1,-28,1,1,AK
6,6,-13,8,4,AZ
99,96,15,97,94,CO
9,16,-7,23,11,FL
3,6,-13,8,4,IA
95,81,6,87,73,IL
93,95,14,96,93,IN
3,13,-8,19,9,LA
9,27,-4,38,19,MO
11,30,-3.5,41,21,NC
79,62,2,73,50,NH
21,38,-2,50,27,NV
2,8,-11,11,6,OH
86,68,3,77,56,PA
91,84,7,89,77,WI
