11,NH,2,100
12,NV,-2,47.3
1,AK,-28,14.1
9,MO,-4,7.7
14,PA,3,7.6
10,NC,-3.5,5.7
2,AZ,-13,3.4
15,WI,7,3
5,IA,-13,2.8
8,LA,-8,2.7
4,FL,-7,1.8
6,IL,6,1.5
7,IN,14,1.2
13,OH,-11,0.5
3,CO,15,0.2
